,price,sqft,location,bathrooms,bhk
51,57.97,1414,Anagalapura Near Hennur Main Road,3.0,2
52,44.55,1100,Anagalapura Near Hennur Main Road,3.0,2
55,44.89,1095,Anagalapura Near Hennur Main Road,3.0,2
57,57.97,1414,Anagalapura Near Hennur Main Road,2.0,3
62,65.0,954,Anagalapura Near Hennur Main Road,4.0,3
63,36.07,1110,Anekal City,3.0,2
64,30.87,950,Anekal City,3.0,2
65,39.81,1225,Anekal City,2.0,2
66,20.96,645,Anekal City,7.0,2
68,52.43,520,Anekal City,3.0,1
69,210.0,950,Anekal City,2.0,3
70,84.0,1025,Anekal City,1.0,2
71,67.0,645,Anekal City,5.0,2
73,34.82,950,Anekal City,2.0,2
75,40.54,645,Anekal City,2.0,2
79,32.6,1025,Anekal City,3.0,2
80,65.0,1025,Anekal City,2.0,3
81,49.5,645,Anekal City,5.0,2
82,230.0,645,Anekal City,9.0,1
84,65.28,1025,Anekal City,5.0,3
85,70.38,1025,Anekal City,3.0,2
86,41.46,645,Anekal City,1.0,2
87,30.45,950,Anekal City,2.0,1
89,66.05,645,Anekal City,2.0,2
91,27.45,950,Anekal City,2.0,2
92,65.0,950,Anekal City,2.0,3
93,38.59,950,Anekal City,2.0,2
94,33.09,645,Anekal City,1.0,2
95,71.55,950,Anekal City,2.0,3
97,39.0,950,Anekal City,4.0,2
99,64.25,645,Anekal City,7.0,2
101,42.37,1225,Anekal City,2.0,2
102,49.5,1225,Anekal City,2.0,2
103,150.0,950,Anekal City,8.0,2
104,93.0,1225,Anekal City,2.0,3
105,31.0,950,Anekal City,2.0,2
107,230.0,1025,Anekal City,5.0,2
110,173.0,1225,Anekal City,2.0,2
111,38.78,1225,Anekal City,2.0,1
112,58.0,950,Anekal City,3.0,2
113,97.0,950,Anekal City,3.0,3
114,28.99,1025,Anekal City,2.0,2
115,95.13,1025,Anekal City,2.0,3
116,64.98,1025,Anekal City,4.0,1
118,75.75,1025,Anekal City,4.0,3
119,91.8,1700,Anjanapura,2.0,2
120,80.73,1495,Anjanapura,2.0,2
121,91.8,1700,Anjanapura,2.0,3
122,71.77,1375,Anjanapura,2.0,2
123,68.31999,1309,Anjanapura,3.0,1
124,61.38,1176,Anjanapura,4.0,2
126,68.9,1320,Anjanapura,2.0,2
127,81.37,1559,Anjanapura,4.0,3
128,78.19,1498,Anjanapura,2.0,3
129,87.12,1669,Anjanapura,2.0,3
130,69.94,1340,Anjanapura,2.0,2
131,69.89,1339,Anjanapura,2.0,2
132,86.49,1657,Anjanapura,2.0,1
133,86.65,1660,Anjanapura,2.0,4
135,86.91,1665,Anjanapura,3.0,2
136,75.0,1390,Anjanapura,2.0,3
137,60.0,1140,Anjanapura,2.0,2
138,82.09,1140,Anjanapura,2.0,3
140,80.87,1860,Anjanapura,2.0,3
142,78.4,1798,Anjanapura,2.0,2
143,88.97,1332,Anjanapura,3.0,3
144,72.62,1665,Anjanapura,2.0,2
151,39.32,1573,Attibele,2.0,1
153,24.87,995,Attibele,2.0,1
154,40.97,1639,Attibele,3.0,3
155,32.02,1281,Attibele,2.0,1
160,33.88,1210,Attibele,2.0,1
165,33.88,1210,Attibele,3.0,1
174,50.0,1281,Attibele,6.0,2
177,46.0,994,Attibele,2.0,3
187,62.0,994,Attibele,2.0,3
188,75.0,994,Attibele,1.0,1
193,32.0,995,Attibele,2.0,1
195,46.0,1529,Attibele,3.0,2
197,28.99,779,Attibele,4.0,1
200,50.7,779,Attibele,1.0,2
201,30.45,779,Attibele,2.0,1
202,59.47,924,Attibele,2.0,2
204,79.98999,924,Attibele,3.0,3
209,72.08,924,Attibele,2.0,3
210,84.0,924,Attibele,2.0,3
211,84.0,779,Attibele,3.0,1
212,66.25,924,Attibele,2.0,1
215,70.0,924,Attibele,6.0,3
218,80.81999,925,Attibele,4.0,2
221,22.88,924,Attibele,2.0,1
226,52.56,1573,Attibele,2.0,3
227,78.4,924,Attibele,3.0,2
228,68.58,925,Attibele,2.0,3
233,25.0,924,Attibele,2.0,1
234,80.0,924,Attibele,2.0,3
235,29.75,924,Attibele,3.0,1
238,41.76,924,Attibele,2.0,3
239,57.5,924,Attibele,3.0,2
240,70.2,924,Attibele,3.0,1
241,118.0,924,Attibele,2.0,3
242,52.48,922,Attibele,15.0,3
243,53.01,921,Attibele,2.0,2
245,48.64,920,Attibele,2.0,3
246,65.0,926,Attibele,2.0,3
247,44.92,924,Attibele,2.0,3
248,60.94,924,Attibele,2.0,3
251,73.0,924,Attibele,3.0,3
252,57.5,924,Attibele,2.0,3
256,65.97,779,Attibele,2.0,2
257,54.87,779,Attibele,2.0,1
258,52.44,779,Attibele,1.0,2
259,49.48,779,Attibele,2.0,2
260,110.0,779,Attibele,2.0,2
262,85.0,1616,Avalahalli Off Sarjapur Road,2.0,3
263,67.11,1320,Avalahalli Off Sarjapur Road,2.0,4
264,111.0,2221,Avalahalli Off Sarjapur Road,5.0,3
266,63.85,1272,Avalahalli Off Sarjapur Road,2.0,2
267,108.0,2147,Avalahalli Off Sarjapur Road,2.0,2
271,67.31,2221,Avalahalli Off Sarjapur Road,2.0,2
273,108.0,1272,Avalahalli Off Sarjapur Road,4.0,2
275,54.78,771,Avalahalli Off Sarjapur Road,7.0,2
277,83.78,1268,Avalahalli Off Sarjapur Road,2.0,3
278,97.32,2221,Avalahalli Off Sarjapur Road,2.0,3
279,108.0,1272,Avalahalli Off Sarjapur Road,2.0,3
280,70.62,2147,Avalahalli Off Sarjapur Road,3.0,3
281,73.68,1392,Avalahalli Off Sarjapur Road,3.0,2
282,73.68,1320,Avalahalli Off Sarjapur Road,2.0,2
283,81.48,1320,Avalahalli Off Sarjapur Road,2.0,2
285,76.98999,1065,Avalahalli Off Sarjapur Road,2.0,1
286,54.47,967,Avalahalli Off Sarjapur Road,2.0,2
287,69.13,758,Avalahalli Off Sarjapur Road,2.0,2
289,91.48,916,Avalahalli Off Sarjapur Road,2.0,3
290,65.19,982,Avalahalli Off Sarjapur Road,3.0,2
291,91.48,916,Avalahalli Off Sarjapur Road,2.0,2
292,70.4,1616,Avalahalli Off Sarjapur Road,2.0,1
293,58.0,941,Avalahalli Off Sarjapur Road,2.0,2
295,34.56,1309,Avalahalli Off Sarjapur Road,2.0,2
297,34.40999,1143,Avalahalli Off Sarjapur Road,3.0,2
299,31.89,1413,Avalahalli Off Sarjapur Road,1.0,2
300,37.68,1152,Avalahalli Off Sarjapur Road,2.0,1
301,49.95,1149,Avalahalli Off Sarjapur Road,4.0,1
302,90.0,1147,Avalahalli Off Sarjapur Road,2.0,2
304,29.99,1665,Avalahalli Off Sarjapur Road,4.0,1
305,69.98999,1284,Avalahalli Off Sarjapur Road,4.0,3
306,81.2,1400,BEML Layout 5th Stage,7.0,3
307,78.4,1500,BEML Layout 5th Stage,4.0,3
308,60.15,1500,BEML Layout 5th Stage,5.0,1
309,84.0,1400,BEML Layout 5th Stage,4.0,2
310,61.88,1450,BEML Layout 5th Stage,2.0,3
311,78.4,1500,BEML Layout 5th Stage,2.0,3
312,73.56,1500,BEML Layout 5th Stage,3.0,3
313,30.79,1525,BEML Layout 5th Stage,2.0,3
314,41.33,1360,BEML Layout 5th Stage,7.0,3
315,38.01,1500,BEML Layout 5th Stage,2.0,1
316,45.78,1500,BEML Layout 5th Stage,3.0,2
317,138.99999,1545,BTM Layout,2.0,4
318,157.0,1750,BTM Layout,2.0,1
319,157.0,1750,BTM Layout,3.0,5
320,138.99999,1545,BTM Layout,2.0,4
321,155.0,1730,BTM Layout,2.0,4
322,138.99999,1545,BTM Layout,2.0,4
323,157.0,1750,BTM Layout,6.0,3
324,157.0,1750,BTM Layout,2.0,4
325,157.0,1750,BTM Layout,2.0,3
326,138.99999,1545,BTM Layout,2.0,2
327,147.0,1545,BTM Layout,3.0,2
328,138.99999,1545,BTM Layout,2.0,1
329,138.99999,1545,BTM Layout,3.0,3
330,138.99999,1545,BTM Layout,4.0,3
331,138.99999,1545,BTM Layout,2.0,2
332,138.99999,1545,BTM Layout,3.0,3
333,138.99999,1545,BTM Layout,2.0,1
334,31.0,1535,Babusa Palya,2.0,3
335,43.05,1535,Babusa Palya,3.0,2
336,41.33,1410,Babusa Palya,5.0,2
337,60.94,1406,Babusa Palya,4.0,2
338,31.23,1585,Babusa Palya,2.0,2
339,31.0,1535,Babusa Palya,2.0,3
340,65.0,1535,Babusa Palya,2.0,4
341,38.0,1140,Babusa Palya,2.0,3
342,58.14,1200,Babusa Palya,3.0,2
343,40.5,1140,Babusa Palya,2.0,3
344,50.0,1535,Babusa Palya,4.0,3
345,40.0,1535,Babusa Palya,2.0,3
346,74.68,1140,Babusa Palya,2.0,3
347,231.0,2480,Banashankari,7.0,3
348,214.0,2378,Banashankari,2.0,3
349,235.0,2522,Banashankari,3.0,2
350,235.0,2522,Banashankari,3.0,4
351,231.0,2480,Banashankari,2.0,3
352,214.0,2378,Banashankari,2.0,4
355,225.0,2560,Banashankari,2.0,3
357,71.65,980,Banashankari,4.0,2
358,165.0,1400,Banashankari,3.0,3
359,71.45,1300,Banashankari,3.0,1
361,215.0,1900,Banashankari,3.0,3
364,93.24,1331,Banashankari,3.0,2
365,48.06,1334,Banashankari,2.0,1
367,68.59999,979,Banashankari,2.0,2
370,59.0,978,Banashankari,4.0,2
372,93.24,1335,Banashankari,2.0,1
373,93.24,1335,Banashankari,2.0,2
374,68.59999,1336,Banashankari,3.0,2
378,68.59999,1326,Banashankari,3.0,2
379,68.59999,982,Banashankari,1.0,2
381,93.24,979,Banashankari,2.0,2
383,93.45,985,Banashankari,2.0,2
384,68.59999,1339,Banashankari,3.0,2
386,68.59999,1335,Banashankari,2.0,2
388,214.0,3205,Banashankari,2.0,3
390,214.0,3024,Banashankari,4.0,3
391,214.0,2376,Banashankari,1.0,3
392,227.0,2376,Banashankari,2.0,3
393,224.0,2522,Banashankari,3.0,2
394,214.0,2522,Banashankari,2.0,3
395,215.0,2376,Banashankari,3.0,2
396,76.0,2378,Banashankari,3.0,1
397,50.45,2376,Banashankari,2.0,2
400,63.63,3205,Banashankari,3.0,2
401,188.0,2480,Banashankari,2.0,3
402,50.04,1040,Banashankari,4.0,1
403,209.0,2378,Banashankari,3.0,3
404,76.51,2522,Banashankari,2.0,2
406,137.0,2480,Banashankari,2.0,3
407,137.0,2480,Banashankari,2.0,2
409,75.06999,1155,Banaswadi,3.0,2
410,65.31999,1005,Banaswadi,2.0,3
411,94.57,1455,Banaswadi,2.0,3
412,90.35,1390,Banaswadi,7.0,4
413,66.62,1025,Banaswadi,3.0,2
414,71.81999,1105,Banaswadi,3.0,2
415,73.77,1135,Banaswadi,2.0,1
416,96.85,1160,Banaswadi,2.0,3
417,71.5,1490,Banaswadi,3.0,4
418,51.5,1100,Banaswadi,3.0,2
419,51.75,1110,Banaswadi,2.0,2
420,51.07,1100,Banaswadi,3.0,2
421,75.05,1800,Banaswadi,2.0,3
422,52.0,1800,Banaswadi,3.0,2
423,74.56,1252,Banaswadi,4.0,2
426,80.0,2500,Banaswadi,1.0,3
429,36.0,1875,Banaswadi,2.0,2
431,53.83,1185,Banaswadi,1.0,1
432,55.35,1315,Basaveswarnagar,2.0,3
435,54.22,1090,Basaveswarnagar,2.0,2
436,51.75,1560,Basaveswarnagar,4.0,2
438,71.55,1165,Basaveswarnagar,3.0,3
439,51.07,1145,Basaveswarnagar,4.0,1
441,63.45,1150,Basaveswarnagar,3.0,2
443,59.89,1590,Basaveswarnagar,3.0,2
444,57.82,740,Basaveswarnagar,6.0,2
445,49.95,1110,Basaveswarnagar,2.0,2
446,47.02,1050,Basaveswarnagar,2.0,2
447,58.05,1670,Basaveswarnagar,2.0,2
448,46.35,1535,Basaveswarnagar,3.0,2
449,75.81999,1075,Basaveswarnagar,2.0,3
450,61.2,1285,Basaveswarnagar,4.0,3
452,49.0,1187,Begur,2.0,1
453,88.68,1245,Begur,2.0,2
455,110.0,1805,Begur,3.0,2
456,113.99999,1880,Begur,2.0,1
457,130.0,2180,Begur,8.0,2
458,112.99999,1850,Begur,5.0,2
460,90.6,1275,Begur,1.0,2
461,86.44,1210,Begur,3.0,1
462,88.36,1240,Begur,3.0,4
463,102.0,1450,Begur,3.0,3
464,85.28,1192,Begur,2.0,3
465,88.04,1235,Begur,2.0,1
466,99.1,1400,Begur,2.0,4
473,65.77,1325,Begur,2.0,1
476,108.0,1745,Begur,3.0,2
477,88.68,1417,Begur,3.0,3
478,113.99999,1814,Begur,2.0,3
479,93.66,1503,Begur,2.0,2
480,112.99999,2180,Begur,2.0,4
481,112.99999,2180,Begur,4.0,1
482,95.16,1830,Begur,2.0,3
483,101.0,1960,Begur,5.0,2
484,73.31999,1410,Begur,2.0,1
485,98.02,1885,Begur,2.0,3
488,110.0,1805,Begur,3.0,4
489,110.0,1805,Begur,4.0,3
490,115.0,1476,Begur,2.0,4
491,125.0,1527,Begur,2.0,3
492,105.0,1265,Begur,3.0,4
501,137.0,2424,Begur,3.0,3
502,92.4,1653,Begur,3.0,1
510,74.5,1221,Begur,2.0,1
513,79.5,1375,Begur,2.0,3
514,83.5,1368,Begur,2.0,4
515,82.5,1375,Begur,1.0,1
516,80.5,1368,Begur,3.0,1
517,78.0,1366,Begur,3.0,4
518,78.0,1241,Begur,4.0,4
523,93.35,1476,Begur,2.0,3
524,80.01,1265,Begur,3.0,2
525,96.58,1527,Begur,2.0,3
534,66.0,1235,Begur,2.0,1
535,46.7,1576,Begur,5.0,1
538,75.4,1610,Begur,4.0,3
540,75.0,1576,Begur,3.0,3
541,96.4,1759,Begur,2.0,3
542,92.4,1728,Begur,2.0,3
543,91.4,1653,Begur,2.0,3
544,91.2,1634,Begur,7.0,1
545,90.2,1631,Begur,2.0,2
546,89.4,1614,Begur,1.0,3
547,79.5,1598,Begur,3.0,1
548,79.4,1376,Begur,3.0,3
549,79.3,1375,Begur,4.0,2
550,79.0,1372,Begur,2.0,3
551,78.5,1368,Begur,1.0,4
553,71.8,1210,Begur,4.0,3
555,71.4,1241,Begur,1.0,1
556,39.4,1227,Begur,2.0,1
557,71.0,1368,Begur,2.0,3
558,69.8,1220,Begur,4.0,3
560,126.0,644,Begur,3.0,2
562,79.72,1906,Begur,2.0,1
563,130.0,1880,Begur,3.0,2
564,110.0,2180,Begur,3.0,3
565,112.99999,1805,Begur,3.0,3
567,134.0,1903,Begur,3.0,2
569,47.0,1903,Begur,2.0,1
570,70.2,1510,Begur,2.0,1
572,162.99999,1906,Begur,2.0,4
573,95.51,1906,Begur,2.0,3
574,162.99999,1906,Begur,4.0,1
575,162.99999,1906,Begur,2.0,3
576,95.51,1906,Begur,3.0,1
586,93.59,1015,Begur,3.0,1
587,30.3,1065,Begur,3.0,1
589,68.13,1450,Begur,3.0,1
599,87.0,1324,Begur,2.0,4
603,81.16,1410,Begur,2.0,2
604,85.83,1493,Begur,5.0,3
605,84.99,1417,Begur,2.0,3
606,101.0,1416,Begur,4.0,3
607,79.84999,1814,Begur,2.0,1
608,101.0,1813,Begur,2.0,2
609,82.56,1503,Begur,4.0,3
610,108.0,1305,Begur,2.0,3
611,133.0,1830,Begur,2.0,4
614,72.09999,1311,Bellandur,2.0,1
617,150.0,1196,Bellandur,3.0,2
618,225.99999,2666,Bellandur,2.0,2
619,229.0,2697,Bellandur,2.0,2
621,140.0,2814,Bellandur,2.0,3
630,155.0,968,Bellandur,3.0,2
631,145.0,833,Bellandur,2.0,2
632,224.0,1002,Bellandur,2.0,2
633,151.0,1075,Bellandur,2.0,2
637,89.5,988,Bellandur,5.0,1
639,186.0,1146,Bellandur,2.0,3
640,129.0,1359,Bellandur,2.0,3
642,217.0,1184,Bellandur,2.0,3
643,193.0,1170,Bellandur,3.0,3
647,101.0,1355,Bellandur,2.0,2
663,82.19,1159,Bellandur,5.0,1
669,143.0,3210,Bellandur,1.0,1
670,177.0,3160,Bellandur,2.0,3
671,175.0,2180,Bellandur,2.0,2
672,166.0,2120,Bellandur,4.0,3
673,160.0,2100,Bellandur,2.0,2
674,141.0,1995,Bellandur,3.0,3
675,212.0,1920,Bellandur,2.0,4
676,146.0,2150,Bellandur,2.0,3
677,112.99999,3220,Bellandur,2.0,1
678,225.99999,1910,Bellandur,10.0,4
679,252.99999,2234,Bellandur,2.0,3
680,257.0,1938,Bellandur,2.0,3
681,173.0,2238,Bellandur,2.0,3
682,175.0,2184,Bellandur,2.0,2
683,162.99999,1452,Bellandur,3.0,3
684,156.0,1498,Bellandur,2.0,3
685,150.0,1438,Bellandur,4.0,1
686,150.0,1395,Bellandur,4.0,3
687,153.0,1321,Bellandur,2.0,3
688,153.0,1349,Bellandur,2.0,3
693,231.0,1330,Bellandur,3.0,2
695,100.0,1330,Bellandur,3.0,2
696,36.5,1595,Bellandur,3.0,1
698,150.0,1776,Bilekahalli,4.0,2
699,180.0,1770,Bilekahalli,4.0,4
700,225.0,2370,Bilekahalli,2.0,2
701,152.0,1792,Bilekahalli,2.0,4
702,200.99999,2370,Bilekahalli,5.0,4
703,220.0,2368,Bilekahalli,2.0,1
704,170.0,2368,Bilekahalli,3.0,3
705,87.0,5000,Bilekahalli,3.0,2
706,62.0,3012,Bilekahalli,3.0,1
707,61.5,2370,Bilekahalli,2.0,3
708,105.0,1455,Bommanahalli,2.0,4
709,92.77,1275,Bommanahalli,3.0,3
710,116.0,1615,Bommanahalli,4.0,2
711,109.0,1515,Bommanahalli,3.0,3
712,105.0,1455,Bommanahalli,2.0,3
713,98.59,1360,Bommanahalli,2.0,3
714,92.78,1275,Bommanahalli,4.0,3
715,98.59,1360,Bommanahalli,2.0,3
716,116.0,1615,Bommanahalli,1.0,4
717,92.78,1275,Bommanahalli,1.0,1
718,116.0,1615,Bommanahalli,2.0,2
719,109.0,1515,Bommanahalli,2.0,2
720,92.77,1275,Bommanahalli,4.0,3
721,116.0,1615,Bommanahalli,2.0,4
722,109.0,1515,Bommanahalli,2.0,4
723,105.0,1455,Bommanahalli,2.0,3
724,98.59,1360,Bommanahalli,2.0,4
725,109.0,1515,Bommanahalli,2.0,3
726,106.0,1515,Bommanahalli,2.0,3
729,27.68,735,Bommanahalli,2.0,2
730,38.77,905,Bommanahalli,2.0,2
731,103.0,1100,Bommanahalli,2.0,3
735,94.0,1735,Bommanahalli,2.0,2
736,120.0,1360,Bommanahalli,3.0,1
737,86.0,2800,Bommanahalli,4.0,3
739,59.01,1345,Bommanahalli,1.0,2
741,50.8,1270,Bommasandra,3.0,1
744,52.4,1310,Bommasandra,2.0,3
764,40.0,1000,Bommasandra,3.0,1
774,37.35,920,Bommasandra,3.0,1
775,50.5,1260,Bommasandra,2.0,1
784,53.0,1361,Bommasandra,2.0,3
785,53.0,1365,Bommasandra,2.0,3
786,53.0,1361,Bommasandra,3.0,3
788,135.0,910,Bommasandra,3.0,3
790,78.4,1010,Bommasandra,2.0,3
797,63.0,1005,Bommasandra,2.0,1
798,31.1,1020,Bommasandra,1.0,1
800,58.03,1055,Bommasandra,3.0,3
802,109.0,1005,Bommasandra,2.0,2
803,73.0,1010,Bommasandra,1.0,3
804,80.09999,735,Bommasandra,3.0,2
808,83.58,1365,Bommasandra,4.0,3
809,44.02,1260,Bommasandra,2.0,1
810,190.0,955,Bommasandra,2.0,3
812,252.0,1010,Bommasandra,2.0,3
813,65.64,920,Bommasandra,2.0,3
815,91.15,1410,Bommasandra,2.0,3
816,124.0,1010,Bommasandra,2.0,1
817,105.0,1010,Bommasandra,6.0,2
818,85.45,1010,Bommasandra,2.0,1
819,76.0,1150,Brookefield,2.0,2
820,111.0,1397,Brookefield,3.0,3
821,78.0,1047,Brookefield,1.0,3
822,99.9,1047,Brookefield,3.0,3
823,124.0,1397,Brookefield,2.0,3
824,78.45999,1204,Brookefield,3.0,3
825,103.0,721,Brookefield,3.0,2
826,70.15,1300,Brookefield,2.0,3
827,56.12,1724,Brookefield,2.0,3
829,72.0,1350,Budigere Cross,2.0,1
830,65.0,1225,Budigere Cross,1.0,2
832,50.7,935,Budigere Cross,2.0,2
833,61.83,1350,Budigere Cross,1.0,2
837,94.0,1530,Budigere Cross,3.0,2
838,86.0,1404,Budigere Cross,2.0,3
839,72.0,1157,Budigere Cross,2.0,2
840,89.0,935,Budigere Cross,3.0,2
841,181.0,1225,Budigere Cross,2.0,3
842,89.0,1530,Budigere Cross,3.0,2
844,56.1,935,Budigere Cross,2.0,2
847,68.63,1350,Budigere Cross,2.0,2
848,89.4,3840,Budigere Cross,4.0,3
849,60.91,1225,Budigere Cross,2.0,2
850,70.4,1165,Budigere Cross,2.0,3
851,77.09999,1330,Budigere Cross,2.0,3
857,50.7,935,Budigere Cross,3.0,2
858,39.02,1058,Budigere Cross,2.0,2
859,130.0,935,Budigere Cross,3.0,2
860,130.0,1165,Budigere Cross,6.0,2
861,77.09999,1330,Budigere Cross,2.0,2
864,48.77,1165,Budigere Cross,2.0,2
867,35.44,1058,Budigere Cross,3.0,2
868,50.7,935,Budigere Cross,2.0,2
870,130.0,935,Budigere Cross,3.0,3
871,130.0,1165,Budigere Cross,2.0,3
872,78.4,1636,Budigere Cross,3.0,3
873,84.0,1820,Budigere Cross,2.0,1
874,130.0,1660,Budigere Cross,4.0,1
875,30.45,1240,Budigere Cross,1.0,2
876,30.5,1240,Budigere Cross,3.0,2
877,28.49,1660,Budigere Cross,3.0,2
880,38.59,1260,Budigere Cross,1.0,1
882,186.0,2640,Budigere Cross,2.0,3
885,230.0,2990,Budigere Cross,2.0,3
886,43.46,1630,Budigere Cross,2.0,1
887,143.0,1788,CV Raman Nagar,14.0,1
888,146.0,1836,CV Raman Nagar,6.0,3
889,142.0,1778,CV Raman Nagar,2.0,3
890,158.0,1980,CV Raman Nagar,3.0,3
891,111.0,1392,CV Raman Nagar,2.0,1
892,146.0,1825,CV Raman Nagar,2.0,4
893,132.0,1659,CV Raman Nagar,3.0,4
894,172.0,1660,CV Raman Nagar,5.0,3
895,69.86,1277,Carmelaram,2.0,1
896,78.91,1443,Carmelaram,2.0,1
897,60.7,1109,Carmelaram,2.0,2
898,59.61,1089,Carmelaram,3.0,1
899,59.23,1082,Carmelaram,6.0,2
902,81.8,1496,Carmelaram,3.0,3
903,76.62,1401,Carmelaram,3.0,2
904,60.81,1277,Carmelaram,2.0,1
905,78.91,1111,Carmelaram,2.0,2
907,59.61,1109,Carmelaram,3.0,2
908,59.23,1647,Carmelaram,2.0,1
909,61.74,1082,Carmelaram,2.0,2
911,81.8,1095,Carmelaram,2.0,2
912,76.62,1496,Carmelaram,2.0,3
914,57.8,1404,Carmelaram,3.0,2
916,62.01,1271,Carmelaram,2.0,2
920,61.5,975,Chandapura,3.0,3
921,32.61999,974,Chandapura,3.0,2
924,27.45,924,Chandapura,1.0,2
925,81.2,1230,Chandapura,2.0,2
927,31.0,854,Chandapura,3.0,2
928,69.0,1325,Chandapura,2.0,2
929,52.0,850,Chandapura,2.0,2
930,61.75,850,Chandapura,5.0,2
931,47.72,618,Chandapura,3.0,1
932,58.83,943,Chandapura,2.0,1
933,65.0,1230,Chandapura,3.0,3
934,95.0,660,Chandapura,2.0,2
935,21.5,873,Chandapura,2.0,1
936,84.0,944,Chandapura Anekal Road,2.0,3
937,30.45,1197,Chandapura Anekal Road,2.0,2
938,31.0,940,Chandapura Anekal Road,2.0,2
939,38.0,1020,Chandapura Anekal Road,2.0,2
940,91.0,921,Chandapura Anekal Road,1.0,2
941,102.0,939,Chandapura Anekal Road,2.0,2
942,32.61999,947,Chandapura Anekal Road,2.0,2
944,35.0,3500,Chandapura Anekal Road,2.0,2
945,81.2,950,Chandapura Anekal Road,2.0,2
947,50.8,645,Chandapura Anekal Road,8.0,2
948,79.84999,940,Chandapura Anekal Road,4.0,2
949,92.61,947,Chandapura Anekal Road,2.0,3
950,71.55,1700,Chandapura Anekal Road,2.0,3
951,32.32,985,Chandapura Anekal Road,3.0,1
952,97.0,1560,Chikkagubbi on Hennur Main Road,2.0,3
953,91.0,1450,Chikkagubbi on Hennur Main Road,2.0,2
954,75.0,1200,Chikkagubbi on Hennur Main Road,4.0,1
955,81.0,718,Chikkagubbi on Hennur Main Road,2.0,2
956,63.56,1180,Chikkagubbi on Hennur Main Road,2.0,2
957,72.0,1450,Chikkagubbi on Hennur Main Road,2.0,1
958,58.48,1450,Chikkagubbi on Hennur Main Road,2.0,2
959,67.76,1561,Chikkagubbi on Hennur Main Road,3.0,3
960,58.48,1450,Chikkagubbi on Hennur Main Road,2.0,3
961,90.25,1561,Chikkagubbi on Hennur Main Road,2.0,4
962,94.08,1165,Chikkagubbi on Hennur Main Road,3.0,1
963,81.06999,1446,Chikkagubbi on Hennur Main Road,4.0,3
964,98.28,1561,Chikkagubbi on Hennur Main Road,2.0,2
965,54.0,1200,Chikkalasandra,3.0,1
966,60.0,1135,Chikkalasandra,3.0,2
967,68.5,1305,Chikkalasandra,2.0,3
968,46.0,1075,Chikkalasandra,2.0,2
969,68.59999,1400,Chikkalasandra,2.0,2
970,68.59999,1400,Chikkalasandra,3.0,3
971,68.59999,1400,Chikkalasandra,4.0,3
972,68.59999,1325,Chikkalasandra,5.0,1
973,47.0,1150,Chikkalasandra,3.0,2
974,78.88,1045,Dasarahalli on Tumkur Road,5.0,3
975,78.88,1045,Dasarahalli on Tumkur Road,2.0,3
976,94.12,1247,Dasarahalli on Tumkur Road,4.0,3
977,105.0,1486,Dasarahalli on Tumkur Road,2.0,3
978,102.0,1433,Dasarahalli on Tumkur Road,2.0,3
979,99.6,1086,Dasarahalli on Tumkur Road,2.0,1
980,99.6,1086,Dasarahalli on Tumkur Road,6.0,3
981,59.0,1086,Dasarahalli on Tumkur Road,3.0,2
983,59.0,1086,Dasarahalli on Tumkur Road,2.0,2
984,59.0,1086,Dasarahalli on Tumkur Road,2.0,2
