,price,sqft,location,bathrooms,bhk
170,189.0,1100,Chattarpur,2.0,1
172,500.0,1107,Chattarpur,5.0,3
173,550.0,1207,Chattarpur,2.0,3
174,40.0,6521,Chattarpur,2.0,2
177,800.0,900,Chattarpur,2.0,2
179,155.0,1025,Chittaranjan Park,2.0,1
180,155.0,1025,Chittaranjan Park,3.0,3
181,160.0,1400,Chittaranjan Park,2.0,3
182,155.0,1035,Chittaranjan Park,2.0,3
186,160.0,1400,Chittaranjan Park,2.0,3
187,148.0,1030,Chittaranjan Park,1.0,2
188,155.0,1025,Chittaranjan Park,2.0,3
189,148.0,1030,Chittaranjan Park,3.0,2
190,148.0,1030,Chittaranjan Park,2.0,2
192,155.0,1035,Chittaranjan Park,2.0,3
193,155.0,1025,Chittaranjan Park,2.0,3
194,155.0,1025,Chittaranjan Park,3.0,3
195,155.0,1035,Chittaranjan Park,2.0,3
196,155.0,1035,Chittaranjan Park,4.0,2
197,155.0,1035,Chittaranjan Park,2.0,3
198,155.0,1025,Chittaranjan Park,1.0,3
199,155.0,1035,Chittaranjan Park,3.0,2
200,155.0,2900,Chittaranjan Park,3.0,3
201,155.0,1150,Chittaranjan Park,1.0,2
202,180.0,2100,Chittaranjan Park,2.0,2
203,150.0,1150,Chittaranjan Park,2.0,2
205,250.0,2000,Delhi,2.0,4
206,108.0,3600,Delhi,5.0,1
207,500.0,4430,Delhi,3.0,2
210,160.0,2400,Delhi,4.0,2
211,155.0,2400,Delhi,2.0,4
212,155.0,1500,Delhi,1.0,2
218,235.0,1400,Delhi,6.0,4
220,450.0,2600,Delhi,2.0,2
223,600.0,1200,Delhi,3.0,2
224,211.0,1550,Delhi,4.0,2
225,150.0,2150,Delhi,3.0,2
226,180.0,5175,Delhi,3.0,2
227,525.0,1200,Delhi,2.0,1
228,80.0,2700,Delhi,3.0,1
230,500.0,1097,Delhi,2.0,2
235,38.0,1000,Delhi,6.0,1
237,47.0,1000,Delhi,2.0,1
238,38.0,521,Delhi,3.0,1
239,280.0,1610,Delhi,2.0,4
241,600.0,1485,Delhi,2.0,2
244,60.0,1000,Delhi Meerut Expressway,2.0,3
247,70.0,810,Delhi Meerut Expressway,2.0,2
248,100.0,1125,Delhi Meerut Expressway,2.0,3
250,180.0,1500,Delhi Meerut Expressway,2.0,3
251,90.0,1751,Delhi Meerut Expressway,2.0,3
252,250.0,1674,Delhi Meerut Expressway,2.0,3
255,50.0,1800,Delhi Meerut Expressway,2.0,2
256,165.0,1498,Delhi Meerut Expressway,2.0,1
258,89.0,1100,Delhi Meerut Expressway,2.0,2
259,32.7,2021,Delhi Meerut Expressway,3.0,2
262,96.0,1223,Delhi Meerut Expressway,2.0,2
264,23.0,2423,Delhi Meerut Expressway,2.0,2
265,57.12,2312,Delhi Meerut Expressway,2.0,3
266,25.5,1275,Delhi Meerut Expressway,9.0,2
267,58.0,900,Dwarka Mor,1.0,2
268,50.0,1000,Dwarka Mor,2.0,3
269,55.0,1000,Dwarka Mor,2.0,1
270,80.0,1500,Dwarka Mor,3.0,3
271,85.0,1200,Dwarka Mor,2.0,1
272,27.0,540,Dwarka Mor,2.0,1
273,49.99,950,Dwarka Mor,4.0,2
274,54.99,900,Dwarka Mor,2.0,3
277,28.0,570,Dwarka Mor,3.0,1
278,52.0,1000,Dwarka Mor,2.0,3
279,65.0,1000,Dwarka Mor,3.0,3
280,54.99,900,Dwarka Mor,2.0,3
281,60.0,990,Dwarka Mor,2.0,2
283,54.99,900,Dwarka Mor,3.0,2
285,59.99,990,Dwarka Mor,4.0,1
286,54.99,900,Dwarka Mor,2.0,3
287,60.0,990,Dwarka Mor,2.0,1
291,24.0,525,Dwarka Mor,1.0,1
293,170.0,1800,Dwarka Mor,2.0,1
294,165.0,1800,Dwarka Mor,2.0,2
295,70.0,1200,Dwarka Mor,2.0,4
296,75.0,1300,Dwarka Mor,4.0,1
297,70.0,1200,Dwarka Mor,3.0,1
298,55.0,1050,Dwarka Mor,5.0,3
301,40.0,750,Dwarka Mor,2.0,1
306,22.0,550,Dwarka Mor,2.0,1
307,75.0,1300,Dwarka Mor,2.0,4
308,70.0,1200,Dwarka Mor,2.0,1
309,55.0,1050,Dwarka Mor,2.0,3
310,47.0,875,Dwarka Mor,3.0,2
311,35.0,700,Dwarka Mor,2.0,1
312,75.0,1300,Dwarka Mor,4.0,2
313,70.0,1200,Dwarka Mor,3.0,2
314,55.0,1050,Dwarka Mor,3.0,1
316,35.0,700,Dwarka Mor,2.0,1
321,57.0,1100,Dwarka Mor,2.0,3
322,62.0,1100,Dwarka Mor,9.0,2
323,65.0,1200,Dwarka Mor,3.0,3
325,32.0,580,Dwarka Mor,3.0,1
326,23.51,650,Dwarka Mor,2.0,1
328,65.0,1250,Dwarka Mor,4.0,3
329,70.0,1200,Dwarka Mor,2.0,3
331,70.0,1080,Dwarka Mor,2.0,2
332,28.0,500,Dwarka Mor,3.0,1
333,22.0,450,Dwarka Mor,2.0,1
334,37.0,675,Dwarka Mor,4.0,1
335,100.0,1485,Dwarka Mor,2.0,3
337,35.0,600,Dwarka Mor,2.0,1
341,65.0,1080,Dwarka Mor,1.0,3
342,58.0,855,Dwarka Mor,3.0,1
343,52.0,990,Dwarka Mor,3.0,3
344,46.99,810,Dwarka Mor,2.0,2
345,29.99,585,Dwarka Mor,3.0,1
348,59.99,990,Dwarka Mor,2.0,2
351,52.0,900,Dwarka Mor,2.0,3
353,60.0,1200,Dwarka Mor,2.0,4
355,50.0,900,Dwarka Mor,2.0,3
357,52.0,900,Dwarka Mor,2.0,2
358,65.0,1200,Dwarka Mor,3.0,4
359,60.0,1200,Dwarka Mor,1.0,4
361,28.0,600,Dwarka Mor,3.0,1
362,63.0,1000,Dwarka Mor,4.0,1
363,25.0,540,Dwarka Mor,2.0,1
366,47.0,1050,Dwarka Mor,2.0,2
368,28.0,540,Dwarka Mor,2.0,1
369,48.0,810,Dwarka Mor,2.0,2
371,72.0,900,Dwarka Mor,2.0,2
372,64.0,800,Dwarka Mor,2.0,2
373,49.99,950,Dwarka Mor,4.0,2
374,29.0,650,Dwarka Mor,8.0,1
375,132.0,1350,Dwarka Mor,3.0,1
376,41.0,900,Dwarka Mor,3.0,1
377,58.0,900,Dwarka Mor,2.0,2
378,47.0,820,Dwarka Mor,2.0,1
379,27.0,625,Dwarka Mor,2.0,1
380,24.0,525,Dwarka Mor,2.0,1
381,69.0,1250,Dwarka Mor,2.0,3
382,47.0,875,Dwarka Mor,2.0,1
384,58.0,900,Dwarka Mor,1.0,2
385,52.0,1000,Dwarka Mor,2.0,2
389,38.0,1017,Dwarka Mor,4.0,1
393,65.0,1050,Dwarka Mor,3.0,2
397,48.0,1350,Dwarka Mor,2.0,2
401,51.0,1200,Dwarka Mor,2.0,1
404,92.0,1647,Dwarka Mor,1.0,2
405,115.0,1200,Dwarka Mor,4.0,2
406,132.0,1550,Dwarka Mor,2.0,2
407,65.0,1400,Dwarka Mor,1.0,1
410,160.0,1550,Dwarka Mor,2.0,3
411,160.0,1750,Dwarka Mor,1.0,2
412,155.0,900,Dwarka Mor,3.0,3
413,160.0,1750,Dwarka Mor,3.0,2
422,50.0,500,Dwarka Mor,2.0,1
424,50.0,990,Dwarka Mor,3.0,3
426,23.0,1650,Dwarka Mor,2.0,1
428,24.0,1700,Dwarka Mor,2.0,1
429,160.0,2100,Dwarka Mor,6.0,3
430,160.0,1700,Dwarka Mor,1.0,2
431,75.0,1700,Dwarka Mor,2.0,2
432,70.0,1490,Dwarka Mor,2.0,3
437,140.0,1957,Dwarka More,3.0,2
438,165.0,1888,Dwarka More,5.0,2
439,200.0,1800,Dwarka More,3.0,3
441,210.0,1700,Dwarka More,1.0,1
442,163.99999,1050,Dwarka More,2.0,2
443,178.0,1000,Dwarka More,2.0,1
445,195.0,1999,Dwarka More,4.0,2
446,178.0,2500,Dwarka More,2.0,2
447,150.0,1100,Dwarka More,2.0,1
450,218.0,1500,Dwarka More,4.0,2
452,178.0,1255,Dwarka More,2.0,2
453,195.0,1999,Dwarka More,2.0,3
454,178.0,2500,Dwarka More,2.0,2
457,170.0,1440,Dwarka More,2.0,2
458,218.0,1500,Dwarka More,2.0,3
459,238.0,2400,Dwarka More,2.0,2
460,152.0,2350,Dwarka More,5.0,2
461,225.0,1600,Dwarka More,2.0,2
464,223.0,1850,Dwarka More,2.0,3
467,225.0,2305,Dwarka More,3.0,3
469,225.0,2450,Dwarka More,12.0,4
471,195.0,1750,Dwarka More,2.0,2
473,170.0,3006,Dwarka More,2.0,2
474,170.0,1160,Dwarka More,3.0,1
475,23.0,540,Govindpuri,2.0,1
476,23.99,620,Govindpuri,3.0,2
477,20.0,1002,Govindpuri,3.0,3
478,24.5,900,Govindpuri,3.0,2
479,24.0,900,Govindpuri,2.0,2
480,275.0,1550,Greater Kailash,3.0,1
481,300.0,1600,Greater Kailash,2.0,2
483,325.0,1800,Greater Kailash,4.0,3
484,350.0,1953,Greater Kailash,7.0,3
485,350.0,1953,Greater Kailash,2.0,2
486,33.0,7254,Greater Kailash,4.0,2
487,2350.0,4966,Greater Kailash,2.0,4
488,1057.0,5000,Greater Kailash,2.0,2
489,1880.0,2250,Greater Kailash,3.0,3
490,1128.0,4000,Greater Kailash,4.0,3
491,1086.0,6976,Greater Kailash,3.0,2
492,23.0,2311,Greater Kailash,4.0,2
493,2044.0,5500,Greater Kailash,2.0,3
495,185.0,7251,Greater Kailash,3.0,2
496,425.0,2402,Greater Kailash,2.0,3
497,300.0,2700,Greater Kailash,2.0,3
498,48.0,7251,Greater Kailash,2.0,2
499,600.0,1700,Greater Kailash,2.0,3
500,95.0,6650,Greater Kailash,4.0,2
501,20.0,7254,Greater Kailash,3.0,2
504,240.0,6650,Greater Kailash,2.0,2
505,95.0,400,Greater Kailash,2.0,1
506,800.0,5550,Greater Kailash,2.0,2
507,30.0,5500,Greater Kailash,2.0,1
508,28.0,1000,Greater Kailash,1.0,2
510,350.0,9000,Greater Kailash,3.0,2
511,28.0,800,Greater Kailash,4.0,2
512,29.0,1000,Greater Kailash,2.0,2
514,22.92,800,Greater Kailash,2.0,2
515,24.0,800,Greater Kailash,2.0,2
516,200.0,1250,Greater Kailash,2.0,3
519,28.96,1000,Greater Kailash,3.0,2
520,22.62,1000,Greater Kailash,3.0,2
522,22.05,1000,Greater Kailash,2.0,2
523,30.05,800,Greater Kailash,3.0,2
526,22.4,1000,Greater Kailash,2.0,2
527,23.0,800,Greater Kailash,1.0,2
528,29.9,800,Greater Kailash,4.0,2
529,23.21,1000,Greater Kailash,3.0,2
530,21.24,800,Greater Kailash,2.0,1
533,22.0,888,Greater Kailash,9.0,2
535,115.0,900,Greater Kailash,3.0,1
539,320.0,2412,Greater Kailash,2.0,2
540,51.0,900,Hari Nagar,3.0,2
542,42.0,800,Hari Nagar,3.0,2
543,75.0,4506,Hari Nagar,2.0,2
544,160.0,1980,Hari Nagar,7.0,2
546,26.99,1160,Hari Nagar,2.0,2
547,26.0,600,Hari Nagar,3.0,2
548,35.0,750,Hari Nagar,3.0,2
549,65.0,1200,Hari Nagar,3.0,1
550,47.0,2900,Hari Nagar,2.0,2
551,25.0,550,Hari Nagar,2.0,1
552,36.0,2700,Hari Nagar,2.0,2
553,54.0,750,Hari Nagar,4.0,2
554,45.0,1200,Hari Nagar,2.0,2
555,54.0,1000,Hari Nagar,3.0,2
556,29.0,810,Hari Nagar,1.0,1
557,115.0,900,Hari Nagar,3.0,3
559,30.0,645,Jamia Nagar,3.0,2
560,36.0,855,Jamia Nagar,2.0,1
561,38.0,1000,Jamia Nagar,2.0,2
562,37.0,855,Jamia Nagar,3.0,1
563,30.0,1050,Jamia Nagar,2.0,2
565,39.0,900,Jamia Nagar,2.0,3
567,39.0,900,Jamia Nagar,2.0,2
568,25.0,980,Jamia Nagar,1.0,1
569,36.0,855,Jamia Nagar,2.0,2
570,34.0,675,Jamia Nagar,2.0,2
571,36.0,855,Jamia Nagar,2.0,2
573,50.0,1000,Jamia Nagar,2.0,2
574,30.0,1050,Jamia Nagar,2.0,1
575,39.0,900,Jamia Nagar,2.0,3
576,37.0,900,Jamia Nagar,1.0,2
577,26.0,800,Jamia Nagar,3.0,1
579,39.0,900,Jamia Nagar,2.0,3
580,25.0,980,Jamia Nagar,2.0,1
583,34.0,675,Jamia Nagar,4.0,2
584,39.0,900,Jamia Nagar,4.0,3
585,36.0,855,Jamia Nagar,4.0,2
586,35.0,765,Jamia Nagar,1.0,2
587,42.0,1350,Jamia Nagar,1.0,3
588,110.0,2520,Jasola,7.0,1
589,35.5,675,Jasola,3.0,2
594,115.0,1050,Jasola,3.0,2
595,137.99999,1450,Jasola,2.0,2
597,116.0,1050,Jasola,1.0,2
598,136.0,1450,Jasola,2.0,2
599,116.0,1050,Jasola,4.0,2
600,136.0,1450,Jasola,2.0,3
602,100.0,1400,Jasola,1.0,2
603,425.0,1450,Jasola,2.0,3
604,50.0,972,Jasola,3.0,1
605,225.0,1450,Jasola,2.0,3
606,275.0,2970,Jasola,2.0,2
608,165.0,1200,Kalkaji,2.0,1
609,167.0,1350,Kalkaji,4.0,4
610,155.0,1250,Kalkaji,2.0,4
611,167.0,1700,Kalkaji,2.0,5
612,155.0,1250,Kalkaji,2.0,3
613,145.0,1200,Kalkaji,2.0,4
614,185.0,1400,Kalkaji,3.0,4
615,175.0,1900,Kalkaji,2.0,4
616,147.0,1250,Kalkaji,2.0,2
617,60.0,1501,Kamla Nagar,2.0,3
618,350.0,1800,Kamla Nagar,2.0,1
620,60.0,2106,Kamla Nagar,2.0,2
621,20.0,1500,Kamla Nagar,5.0,3
622,35.0,1854,Kamla Nagar,2.0,3
623,130.0,2322,Kamla Nagar,2.0,3
624,125.0,2322,Kamla Nagar,3.0,3
625,20.0,4500,Kamla Nagar,3.0,3
626,20.0,1401,Kamla Nagar,2.0,2
627,250.0,1300,Kamla Nagar,4.0,3
628,21.0,4502,Kamla Nagar,3.0,3
629,55.0,900,Mahavir Enclave,3.0,2
630,56.0,900,Mahavir Enclave,2.0,1
631,54.0,900,Mahavir Enclave,2.0,2
632,57.0,950,Mahavir Enclave,2.0,1
633,38.0,550,Mahavir Enclave,6.0,1
634,56.0,900,Mahavir Enclave,2.0,2
635,54.0,900,Mahavir Enclave,3.0,1
636,60.0,1000,Mahavir Enclave,3.0,1
637,60.0,990,Mahavir Enclave,2.0,2
638,60.0,990,Mahavir Enclave,1.0,3
639,55.0,900,Mahavir Enclave,2.0,2
642,36.0,450,Mahavir Enclave,2.0,1
644,42.0,600,Mahavir Enclave,3.0,1
645,32.0,616,Mansa Ram Park,2.0,2
646,28.0,505,Mansa Ram Park,2.0,1
647,34.0,675,Mansa Ram Park,1.0,1
648,31.0,616,Mansa Ram Park,3.0,2
649,33.0,616,Mansa Ram Park,2.0,2
650,62.0,900,Mansa Ram Park,6.0,2
651,48.0,900,Mansa Ram Park,1.0,3
652,35.0,630,Mansa Ram Park,1.0,2
653,32.0,616,Mansa Ram Park,2.0,1
654,52.0,1000,Mansa Ram Park,2.0,2
655,53.0,1000,Mansa Ram Park,2.0,3
656,28.0,900,Mansa Ram Park,1.0,2
657,54.0,630,Mansa Ram Park,5.0,2
658,200.0,2000,Mayur Vihar,2.0,3
659,200.0,2000,Mayur Vihar,2.0,2
660,220.0,2000,Mayur Vihar,3.0,2
662,68.5,1100,Mayur Vihar,4.0,2
663,158.0,850,Mayur Vihar,3.0,2
664,80.0,1800,Mayur Vihar,2.0,2
666,72.0,900,Mayur Vihar,2.0,1
667,152.0,1350,Mayur Vihar,2.0,2
669,125.0,1300,Mayur Vihar II,6.0,2
670,125.0,1300,Mayur Vihar II,2.0,3
671,85.0,1100,Mayur Vihar II,2.0,2
672,87.0,1050,Mayur Vihar II,3.0,3
673,170.0,1150,Mayur Vihar II,2.0,3
674,120.0,1300,Mayur Vihar II,3.0,3
675,120.0,1300,Mayur Vihar II,3.0,1
676,85.0,1100,Mayur Vihar II,3.0,2
677,110.0,900,Mayur Vihar II,1.0,3
678,250.0,1950,Model Town,3.0,2
679,260.0,1950,Model Town,2.0,1
680,272.0,1950,Model Town,2.0,2
681,275.0,2450,Model Town,2.0,3
682,285.0,2450,Model Town,2.0,3
683,167.0,2450,Model Town,2.0,4
684,36.0,1050,Mundka,4.0,2
685,36.0,1050,Mundka,2.0,2
686,36.0,1050,Mundka,3.0,2
687,36.0,1050,Mundka,1.0,3
688,36.0,1050,Mundka,2.0,2
689,36.0,1050,Mundka,4.0,3
690,36.0,1050,Mundka,4.0,1
691,38.0,720,Mundka,3.0,2
692,38.0,720,Mundka,5.0,1
693,104.0,1100,Munirka,4.0,1
694,36.0,1050,Munirka,2.0,2
695,65.0,1150,Munirka,3.0,2
696,59.75,1850,Munirka,2.0,1
697,90.0,1250,Munirka,2.0,3
698,40.0,1250,Munirka,4.0,2
699,53.5,1150,Munirka,3.0,3
700,45.0,750,Munirka,2.0,2
701,45.0,750,Munirka,4.0,1
702,45.0,750,Munirka,2.0,2
703,25.0,1100,Munirka,3.0,2
704,20.0,760,New Ashok Nagar,1.0,2
705,45.0,650,New Ashok Nagar,2.0,2
706,24.0,700,New Ashok Nagar,2.0,2
707,25.0,650,New Ashok Nagar,2.0,2
708,40.0,700,New Ashok Nagar,4.0,2
709,25.0,1000,New Ashok Nagar,4.0,1
710,30.0,900,New Ashok Nagar,1.0,1
711,28.0,850,New Ashok Nagar,2.0,2
712,26.0,650,New Ashok Nagar,2.0,2
713,25.0,700,New Ashok Nagar,2.0,2
714,25.0,750,New Ashok Nagar,2.0,1
715,24.0,700,New Ashok Nagar,8.0,2
716,21.0,650,New Ashok Nagar,3.0,1
720,30.6,1000,Noida,2.0,2
721,30.15,1000,Noida,2.0,1
722,30.6,1000,Noida,2.0,2
723,25.6,1000,Noida,2.0,2
724,28.9,1000,Noida,2.0,1
726,29.14,800,Noida,2.0,1
729,30.15,800,Noida,2.0,2
730,30.6,1000,Noida,2.0,1
731,30.15,1000,Noida,2.0,2
732,30.6,1000,Noida,2.0,3
733,25.6,1000,Noida,5.0,2
734,29.14,800,Noida,3.0,2
736,21.79,800,Noida,3.0,1
738,30.0,800,Noida,2.0,2
746,29.8,800,Noida,1.0,2
749,22.05,800,Noida,5.0,1
750,27.5,1000,Noida,2.0,3
751,27.5,800,Noida,2.0,2
755,30.0,800,Noida,2.0,2
758,30.0,1000,Noida,2.0,2
759,25.5,1000,Noida,2.0,3
760,29.0,1000,Noida,7.0,2
763,30.0,800,Noida,6.0,2
764,30.0,1000,Noida,2.0,3
766,30.0,1000,Noida,3.0,3
768,30.0,800,Noida,2.0,1
770,28.0,1000,Noida,5.0,3
772,24.9,1000,Noida,2.0,1
773,27.0,800,Noida,2.0,2
775,25.97,1000,Noida,2.0,3
776,30.0,800,Noida,3.0,2
778,30.0,1000,Noida,3.0,2
780,30.0,800,Noida,2.0,2
782,27.9,800,Noida,2.0,1
783,31.0,1000,Noida,2.0,2
784,29.5,1000,Noida,1.0,3
786,30.14,800,Noida,2.0,2
787,27.36,1000,Noida,2.0,3
788,27.9,800,Noida,3.0,2
791,28.9,1000,Noida,2.0,2
794,31.0,800,Noida,2.0,2
796,28.0,800,Noida,6.0,2
800,30.45,800,Noida,3.0,2
802,28.9,1000,Noida,5.0,3
804,31.0,800,Noida,2.0,2
806,24.0,1000,Noida,3.0,1
808,30.0,1000,Noida,2.0,3
810,26.8,800,Noida,2.0,2
812,30.0,1000,Noida,2.0,3
814,30.0,800,Noida,2.0,2
818,27.9,800,Noida,4.0,2
819,31.0,1000,Noida,2.0,3
820,29.5,1000,Noida,9.0,3
821,25.0,1000,Noida,2.0,1
823,27.88,800,Noida,2.0,2
826,29.0,800,Noida,3.0,1
827,26.0,1000,Noida,2.0,3
828,29.99,1000,Noida,2.0,2
829,28.75,1000,Noida,2.0,2
833,30.0,800,Noida,2.0,2
835,23.0,1000,Noida,4.0,1
836,29.0,800,Noida,2.0,2
837,26.0,1000,Noida,2.0,3
838,29.99,1000,Noida,2.0,2
841,30.77,800,Noida,2.0,2
842,25.97,1000,Noida,3.0,3
845,23.99,1000,Noida,3.0,1
846,27.97,800,Noida,2.0,2
847,27.33,800,Noida,2.0,2
849,30.7,800,Noida,4.0,1
850,25.0,1000,Noida,2.0,1
852,25.8,800,Noida,3.0,1
853,30.7,1000,Noida,5.0,3
854,22.0,500,Noida,2.0,1
855,29.0,1000,Noida,2.0,3
856,23.0,1000,Noida,2.0,1
857,28.0,800,Noida,2.0,2
858,29.0,800,Noida,2.0,2
860,28.0,800,Noida,2.0,2
862,23.5,800,Noida,3.0,1
863,31.0,800,Noida,2.0,2
867,27.8,800,Noida,2.0,1
868,28.0,1000,Noida,3.0,2
872,30.0,800,Noida,3.0,2
873,29.0,1000,Noida,2.0,3
875,28.0,800,Noida,2.0,2
876,29.0,800,Noida,3.0,2
879,27.8,800,Noida,1.0,1
880,33.0,1000,Noida,2.0,3
881,28.05,1000,Noida,2.0,3
882,29.8,1000,Noida,4.0,2
884,28.0,800,Noida,2.0,2
886,22.23,800,Noida,2.0,1
888,22.5,800,Noida,3.0,1
889,28.89,800,Noida,2.0,2
893,21.59,800,Noida,2.0,1
896,27.3,1000,Noida,1.0,3
900,28.82,800,Noida,1.0,2
902,24.14,800,Noida,4.0,1
903,28.7,1000,Noida,2.0,3
909,29.43,800,Noida,4.0,2
912,28.83,1000,Noida,2.0,1
913,21.81,1000,Noida,3.0,1
915,28.0,800,Noida,2.0,1
916,27.14,1000,Noida,3.0,3
917,21.32,1000,Noida,2.0,1
918,27.77,800,Noida,2.0,2
921,22.73,800,Noida,2.0,1
922,27.8,800,Noida,8.0,2
923,22.86,800,Noida,2.0,1
924,29.87,1000,Noida,2.0,3
926,28.97,800,Noida,3.0,2
928,28.87,800,Noida,2.0,1
929,30.29,1000,Noida,2.0,3
930,30.21,1000,Noida,3.0,3
937,23.62,1000,Noida,2.0,1
938,29.0,800,Noida,2.0,2
941,20.53,1000,Noida,2.0,1
943,29.0,1005,Noida,2.0,3
946,29.31,800,Noida,4.0,2
952,22.27,800,Noida,2.0,1
955,28.95,1000,Noida,6.0,3
956,22.24,1000,Noida,3.0,1
957,28.0,800,Noida,2.0,2
958,21.0,800,Noida,3.0,1
959,22.11,800,Noida,4.0,1
963,29.43,800,Noida,2.0,1
964,28.2,1000,Noida,3.0,3
966,23.53,800,Noida,2.0,1
967,29.42,800,Noida,2.0,2
968,30.2,1000,Noida,2.0,3
971,29.0,800,Noida,2.0,2
976,27.9,1000,Noida,5.0,3
979,29.52,800,Noida,3.0,1
981,27.5,800,Noida,3.0,2
988,29.5,800,Noida,5.0,2
989,28.95,1000,Noida,7.0,3
990,20.0,1000,Noida,2.0,1
991,28.0,800,Noida,2.0,1
992,27.0,800,Noida,4.0,1
993,29.0,800,Noida,2.0,1
994,20.0,1000,Noida,2.0,1
995,28.0,800,Noida,2.0,2
996,21.29,1000,Noida,2.0,1
1001,20.86,800,Noida,5.0,1
1002,25.35,800,Noida,2.0,2
1006,22.37,800,Noida,2.0,1
1007,28.82,800,Noida,4.0,2
1009,29.1,800,Noida,3.0,1
