,area_type,total_sqft,bathrooms,price,bhk
185,Built-up Area,1600.0,4.0,12.5,5
186,Built-up Area,1662.0,3.0,8.51,3
187,Built-up Area,3900.0,4.0,41.0,4
189,Built-up Area,1480.0,3.0,9.0,3
191,Built-up Area,3100.0,4.0,26.5,5
192,Built-up Area,1240.0,2.0,6.2,3
193,Built-up Area,1666.0,4.0,15.0,5
194,Built-up Area,1865.0,3.0,14.5,3
195,Built-up Area,2400.0,3.0,17.0,3
196,Built-up Area,710.0,1.0,2.7,1
198,Built-up Area,565.0,1.0,3.5,1
201,Built-up Area,1300.0,2.0,7.5,3
203,Built-up Area,2689.0,6.0,22.0,4
205,Built-up Area,1078.0,2.0,6.5,2
212,Built-up Area,1180.0,2.0,7.5,2
215,Built-up Area,1700.0,3.0,11.5,3
216,Built-up Area,2264.0,2.0,15.5,3
217,Built-up Area,957.0,2.0,5.6,2
218,Built-up Area,2842.0,3.0,16.2,3
220,Built-up Area,2750.0,4.0,22.0,4
221,Built-up Area,925.0,2.0,4.8,2
222,Built-up Area,1650.0,3.0,8.8,3
224,Built-up Area,1132.0,2.0,6.7,2
226,Built-up Area,890.0,2.0,4.5,2
227,Built-up Area,2195.0,4.0,12.7,3
228,Built-up Area,5000.0,7.0,29.9,7
235,Built-up Area,3329.0,3.0,33.0,3
239,Built-up Area,1197.0,2.0,8.4,2
246,Built-up Area,2500.0,3.0,13.5,3
249,Built-up Area,1200.0,2.0,9.0,2
250,Built-up Area,1440.0,2.0,9.8,2
252,Built-up Area,1100.0,2.0,6.0,2
253,Built-up Area,1450.0,2.0,8.5,3
254,Built-up Area,340.0,1.0,1.0,1
255,Built-up Area,2000.0,3.0,16.6,4
258,Built-up Area,1756.0,3.0,10.0,3
260,Built-up Area,1650.0,3.0,11.0,3
261,Built-up Area,1200.0,4.0,10.5,4
262,Built-up Area,1200.0,2.0,6.6,2
263,Built-up Area,400.0,1.0,1.4,1
266,Built-up Area,1258.0,2.0,6.353,2
269,Built-up Area,1192.0,2.0,7.1,2
275,Built-up Area,2710.0,3.0,25.1,3
280,Built-up Area,3198.0,4.0,20.0,4
281,Built-up Area,1600.0,3.0,8.0,3
285,Built-up Area,2400.0,3.0,16.0,3
294,Built-up Area,2700.0,4.0,21.4,6
296,Built-up Area,595.0,1.0,4.2,1
301,Built-up Area,1275.0,2.0,12.0,2
302,Built-up Area,1170.0,2.0,8.6,2
304,Built-up Area,2800.0,2.0,20.0,3
309,Built-up Area,1280.0,2.0,8.5,2
310,Built-up Area,2400.0,3.0,14.2,4
313,Built-up Area,2611.0,3.0,23.9,3
314,Built-up Area,1800.0,3.0,18.0,3
315,Built-up Area,1725.0,2.0,10.0,3
316,Built-up Area,1500.0,3.0,16.0,3
319,Built-up Area,914.0,2.0,4.7,2
321,Built-up Area,1360.0,2.0,7.5,3
322,Built-up Area,1250.0,2.0,8.0,3
324,Built-up Area,1070.0,2.0,5.5,2
325,Built-up Area,1800.0,1.0,12.8,2
327,Built-up Area,1870.0,3.0,11.0,3
328,Built-up Area,1300.0,2.0,12.0,2
331,Built-up Area,1305.0,3.0,9.545,3
334,Built-up Area,2000.0,3.0,10.0,3
335,Built-up Area,1510.0,2.0,7.5,3
336,Built-up Area,1632.0,3.0,14.5,4
337,Built-up Area,5080.0,7.0,45.0,6
339,Built-up Area,640.0,1.0,5.5,1
341,Built-up Area,955.0,2.0,5.3549999999999995,2
342,Built-up Area,3450.0,4.0,29.4,4
344,Built-up Area,1100.0,2.0,10.6,2
347,Built-up Area,600.0,1.0,2.8,1
348,Built-up Area,3500.0,6.0,22.5,4
351,Built-up Area,1685.0,2.0,11.0,3
353,Built-up Area,1400.0,1.0,8.0,2
356,Built-up Area,500.0,1.0,2.0,1
358,Built-up Area,1900.0,3.0,13.5,3
359,Built-up Area,1012.0,2.0,5.9,2
360,Built-up Area,3555.0,4.0,23.0,4
363,Built-up Area,1670.0,3.0,12.0,3
364,Built-up Area,1050.0,2.0,5.7,3
366,Built-up Area,1415.0,2.0,11.0,2
369,Built-up Area,1285.0,2.0,6.8,3
370,Built-up Area,1150.0,2.0,8.0,2
371,Built-up Area,1185.0,2.0,6.5,2
372,Built-up Area,950.0,2.0,5.079,2
373,Built-up Area,824.0,2.0,6.0,2
375,Built-up Area,1620.0,2.0,11.0,3
377,Built-up Area,1533.0,3.0,11.5,3
378,Built-up Area,1560.0,3.0,8.5,3
381,Built-up Area,1400.0,3.0,11.5,3
384,Built-up Area,1190.0,2.0,6.8,2
385,Built-up Area,1525.0,3.0,10.0,3
386,Built-up Area,1125.0,2.0,6.3,2
387,Built-up Area,1200.0,4.0,7.5,4
388,Built-up Area,1500.0,3.0,8.8,3
389,Built-up Area,1500.0,2.0,14.3,3
391,Built-up Area,1020.0,3.0,11.0,3
392,Built-up Area,1370.0,2.0,7.5,2
393,Built-up Area,1179.0,2.0,7.5,2
397,Built-up Area,1050.0,1.0,7.0,1
398,Built-up Area,5000.0,4.0,29.0,4
400,Built-up Area,515.0,1.0,2.5,1
402,Built-up Area,600.0,2.0,3.65,2
405,Built-up Area,540.0,1.0,3.6,1
408,Built-up Area,3000.0,4.0,20.0,4
409,Built-up Area,400.0,1.0,1.4,1
410,Built-up Area,900.0,2.0,6.4,2
412,Built-up Area,1655.0,3.0,11.5,3
414,Built-up Area,1726.0,3.0,14.5,3
417,Built-up Area,1645.0,3.0,10.0,3
419,Built-up Area,1060.0,2.0,5.5,2
420,Built-up Area,1000.0,2.0,11.0,3
421,Built-up Area,1942.0,3.0,10.2,3
422,Built-up Area,1000.0,2.0,5.3,2
424,Built-up Area,1000.0,2.0,6.4,2
425,Built-up Area,2400.0,3.0,26.0,3
426,Built-up Area,3400.0,3.0,21.0,4
427,Built-up Area,395.0,1.0,1.025,1
428,Built-up Area,1570.0,3.0,8.8,3
431,Built-up Area,2160.0,3.0,16.0,3
433,Built-up Area,2357.0,3.0,15.1,3
441,Built-up Area,1350.0,3.0,7.2,3
442,Built-up Area,714.0,1.0,2.8,1
443,Built-up Area,1405.0,2.0,7.7,3
445,Built-up Area,1945.0,3.0,12.0,3
446,Built-up Area,351.0,1.0,1.6,1
447,Built-up Area,1870.0,3.0,20.0,3
448,Built-up Area,1150.0,2.0,7.5,3
451,Built-up Area,1030.0,2.0,6.1,2
452,Built-up Area,600.0,1.0,3.2,1
454,Built-up Area,3000.0,4.0,24.0,4
457,Built-up Area,1470.0,2.0,7.5,3
458,Built-up Area,1590.0,2.0,12.5,3
463,Built-up Area,945.0,2.0,5.0,2
467,Built-up Area,3500.0,4.0,33.0,3
468,Built-up Area,1100.0,2.0,7.5,2
470,Built-up Area,1929.0,3.0,11.5,3
471,Built-up Area,3161.0,4.0,21.4,4
472,Built-up Area,1850.0,3.0,17.0,3
474,Built-up Area,1124.0,3.0,8.0,2
477,Built-up Area,1226.0,3.0,13.5,2
481,Built-up Area,4200.0,4.0,25.5,4
482,Built-up Area,5000.0,5.0,39.5,4
484,Built-up Area,1300.0,2.0,7.0,3
485,Built-up Area,1700.0,3.0,12.6,3
488,Built-up Area,912.0,2.0,5.5,2
489,Built-up Area,527.0,1.0,2.6,1
490,Built-up Area,1140.0,2.0,7.5200000000000005,2
491,Built-up Area,600.0,1.0,1.7,1
492,Built-up Area,1015.0,2.0,5.6,2
496,Built-up Area,7500.0,7.0,40.0,7
497,Built-up Area,1700.0,2.0,10.0,3
499,Built-up Area,1463.0,1.0,14.2,2
500,Built-up Area,2500.0,4.0,15.0,4
501,Built-up Area,1180.0,2.0,10.0,2
502,Built-up Area,890.0,1.0,7.5,1
504,Built-up Area,630.0,1.0,3.5,2
507,Built-up Area,1340.0,3.0,9.0,3
511,Built-up Area,1350.0,2.0,7.9,2
512,Built-up Area,1260.0,2.0,10.0,2
515,Built-up Area,1662.0,3.0,8.5,3
520,Built-up Area,989.0,2.0,6.0,2
525,Built-up Area,2820.0,3.0,28.5,3
526,Built-up Area,3500.0,4.0,30.0,4
527,Built-up Area,1950.0,3.0,13.0,3
529,Built-up Area,1447.0,3.0,8.0,3
530,Built-up Area,1012.0,2.0,7.5,2
532,Built-up Area,1662.0,3.0,8.55,3
533,Built-up Area,1975.0,3.0,21.0,3
535,Built-up Area,1991.0,3.0,16.0,3
539,Built-up Area,1200.0,3.0,6.6,3
542,Built-up Area,905.0,1.0,5.5,1
543,Built-up Area,1069.0,2.0,5.5,2
544,Built-up Area,1900.0,2.0,20.0,2
546,Built-up Area,1750.0,3.0,13.0,3
550,Built-up Area,1210.0,2.0,10.2,2
555,Built-up Area,900.0,1.0,3.0,1
557,Built-up Area,4346.0,4.0,45.0,4
559,Built-up Area,900.0,2.0,4.6,2
561,Built-up Area,1224.0,2.0,10.5,2
562,Built-up Area,940.0,2.0,5.68,2
563,Built-up Area,1480.0,2.0,14.5,3
565,Built-up Area,1100.0,2.0,6.0,2
566,Built-up Area,1575.0,2.0,12.0,3
567,Built-up Area,3900.0,3.0,30.0,3
568,Built-up Area,3385.0,4.0,26.0,4
570,Built-up Area,1460.0,2.0,7.3,3
571,Built-up Area,1350.0,2.0,8.3,3
574,Built-up Area,956.0,2.0,4.9,2
575,Built-up Area,1596.0,3.0,9.5,3
576,Built-up Area,1639.0,3.0,12.3,3
578,Built-up Area,920.0,2.0,6.5,2
584,Built-up Area,1430.0,3.0,7.2,3
585,Built-up Area,1650.0,4.0,9.9,4
586,Built-up Area,925.0,2.0,6.3,2
588,Built-up Area,3300.0,3.0,25.0,5
589,Built-up Area,1719.0,3.0,11.6,3
592,Built-up Area,850.0,2.0,5.5,2
593,Built-up Area,1750.0,3.0,18.0,3
595,Built-up Area,1500.0,2.0,8.4,2
597,Built-up Area,705.0,1.0,3.65,1
598,Built-up Area,3530.0,4.0,29.0,4
599,Built-up Area,1335.0,3.0,8.9,3
600,Built-up Area,1485.0,3.0,8.5,3
601,Built-up Area,3250.0,5.0,29.0,5
604,Built-up Area,420.0,1.0,1.7,1
605,Built-up Area,1315.0,2.0,8.540000000000001,3
607,Built-up Area,1173.0,2.0,6.0,2
610,Built-up Area,596.0,1.0,4.2,1
611,Built-up Area,1340.0,2.0,7.5,2
612,Built-up Area,1405.0,2.0,7.0,3
613,Built-up Area,1750.0,3.0,14.9,3
616,Built-up Area,532.0,1.0,2.2489999999999997,1
617,Built-up Area,700.0,1.0,3.5,1
619,Built-up Area,1666.0,3.0,9.5,3
620,Built-up Area,1700.0,3.0,15.5,3
621,Built-up Area,1080.0,2.0,5.5,2
622,Built-up Area,1790.0,3.0,10.0,3
624,Built-up Area,1000.0,2.0,8.0,2
625,Built-up Area,1500.0,2.0,9.7,3
627,Built-up Area,1700.0,4.0,10.8,4
629,Built-up Area,3500.0,4.0,24.5,4
630,Built-up Area,350.0,1.0,1.35,1
631,Built-up Area,1325.0,1.0,9.2,2
633,Built-up Area,1525.0,3.0,9.0,3
634,Built-up Area,1858.0,2.0,16.7,3
637,Built-up Area,1088.0,2.0,6.8,2
639,Built-up Area,923.0,1.0,4.569,1
640,Built-up Area,975.0,2.0,5.5,2
643,Built-up Area,1420.0,2.0,10.7,2
645,Built-up Area,2990.0,4.0,32.4,4
646,Built-up Area,3800.0,5.0,30.0,4
650,Built-up Area,1150.0,2.0,7.5,2
651,Built-up Area,1600.0,3.0,10.4,3
653,Built-up Area,1600.0,3.0,9.5,3
655,Built-up Area,919.0,2.0,4.9,2
661,Built-up Area,4818.0,4.0,39.0,4
665,Built-up Area,4355.0,3.0,35.0,5
668,Built-up Area,1500.0,2.0,10.0,3
670,Built-up Area,1605.0,2.0,8.5,3
671,Built-up Area,1140.0,2.0,6.5,2
672,Built-up Area,965.0,1.0,3.2,1
675,Built-up Area,813.0,1.0,3.9,1
677,Built-up Area,2425.0,4.0,17.3,4
678,Built-up Area,1900.0,4.0,14.5,3
680,Built-up Area,1075.0,2.0,6.0,2
681,Built-up Area,1280.0,2.0,7.5,2
682,Built-up Area,500.0,1.0,2.4,1
683,Built-up Area,1653.0,3.0,12.0,3
686,Built-up Area,1280.0,2.0,6.9,2
688,Built-up Area,1850.0,3.0,9.8,3
690,Built-up Area,929.0,2.0,4.8,2
691,Built-up Area,1485.0,3.0,11.5,3
692,Built-up Area,1407.0,3.0,12.0,3
693,Built-up Area,1575.0,3.0,9.3,3
694,Built-up Area,1300.0,2.0,7.0,3
695,Built-up Area,1788.0,3.0,9.0,3
696,Built-up Area,1150.0,2.0,7.0,2
698,Built-up Area,2372.0,3.0,14.0,3
699,Built-up Area,1190.0,2.0,10.0,2
700,Built-up Area,2270.0,3.0,18.0,3
701,Built-up Area,650.0,2.0,5.9,2
703,Built-up Area,1155.0,2.0,6.0,3
704,Built-up Area,1725.0,3.0,8.5,3
707,Built-up Area,1640.0,3.0,8.8,3
708,Built-up Area,1275.0,2.0,9.5,3
709,Built-up Area,1600.0,3.0,16.5,4
712,Built-up Area,1874.0,4.0,13.0,3
713,Built-up Area,1200.0,2.0,12.5,2
714,Built-up Area,2388.0,4.0,23.9,3
715,Built-up Area,1150.0,2.0,6.5,2
716,Built-up Area,2885.0,3.0,18.5,4
718,Built-up Area,1125.0,2.0,6.5,2
720,Built-up Area,5000.0,4.0,37.5,4
723,Built-up Area,1300.0,2.0,10.2,2
724,Built-up Area,440.0,1.0,3.5,1
725,Built-up Area,4500.0,5.0,40.0,4
727,Built-up Area,1419.0,2.0,7.3,3
729,Built-up Area,1400.0,2.0,8.5,3
730,Built-up Area,2500.0,3.0,20.0,5
731,Built-up Area,620.0,1.0,2.7,1
732,Built-up Area,4827.0,4.0,40.0,4
736,Built-up Area,1220.0,2.0,6.8,2
737,Built-up Area,1965.0,3.0,12.0,3
738,Built-up Area,1760.0,2.0,11.5,3
739,Built-up Area,1000.0,2.0,6.8,2
740,Built-up Area,3600.0,4.0,26.0,4
741,Built-up Area,3100.0,4.0,31.0,4
744,Built-up Area,1428.0,2.0,8.0,3
746,Built-up Area,1730.0,3.0,10.0,3
747,Built-up Area,3027.0,4.0,26.0,3
748,Built-up Area,2400.0,4.0,14.7,4
752,Built-up Area,3500.0,3.0,19.8,3
755,Built-up Area,1280.0,4.0,11.5,4
756,Built-up Area,1678.0,3.0,12.5,3
758,Built-up Area,624.0,1.0,3.5,1
760,Built-up Area,1200.0,2.0,9.3,2
768,Built-up Area,1550.0,3.0,16.0,3
771,Built-up Area,1654.0,2.0,8.5,3
772,Built-up Area,1758.0,3.0,9.5,3
773,Built-up Area,2928.0,4.0,19.8,4
775,Built-up Area,1200.0,3.0,8.5,2
776,Built-up Area,1800.0,3.0,14.0,3
779,Built-up Area,2100.0,3.0,11.0,3
781,Built-up Area,3900.0,4.0,33.3,4
784,Built-up Area,640.0,1.0,2.05,1
787,Built-up Area,1690.0,3.0,12.5,3
788,Built-up Area,4500.0,4.0,36.0,3
791,Built-up Area,1395.0,2.0,7.2,3
796,Built-up Area,1750.0,3.0,9.9,3
797,Built-up Area,1680.0,3.0,13.5,4
803,Built-up Area,1165.0,2.0,7.5,2
804,Built-up Area,1220.0,2.0,8.0,2
806,Built-up Area,580.0,1.0,2.7,1
808,Built-up Area,814.0,2.0,5.5,2
810,Built-up Area,435.0,1.0,1.95,1
812,Built-up Area,1449.0,3.0,10.0,3
813,Built-up Area,1400.0,2.0,8.0,2
816,Built-up Area,2254.0,3.0,17.0,3
817,Built-up Area,1560.0,2.0,14.5,2
818,Built-up Area,1340.0,2.0,7.7,2
821,Built-up Area,418.0,1.0,1.2,1
824,Built-up Area,1286.0,3.0,6.7,3
829,Built-up Area,1636.0,3.0,9.7,3
834,Built-up Area,1445.0,2.0,10.5,3
838,Built-up Area,940.0,2.0,4.9,2
839,Built-up Area,1280.0,2.0,8.0,2
841,Built-up Area,905.0,1.0,5.2,1
842,Built-up Area,1170.0,2.0,8.6,2
845,Built-up Area,850.0,2.0,7.5,2
846,Built-up Area,1465.0,3.0,8.001000000000001,3
850,Built-up Area,1800.0,3.0,9.0,3
851,Built-up Area,1150.0,2.0,12.5,2
854,Built-up Area,2111.0,4.0,12.0,3
855,Built-up Area,615.0,1.0,2.4,1
856,Built-up Area,3080.0,2.0,28.5,4
859,Built-up Area,550.0,1.0,1.2,1
860,Built-up Area,1269.0,2.0,7.3,3
861,Built-up Area,1100.0,2.0,7.0,2
862,Built-up Area,810.0,1.0,2.1,1
863,Built-up Area,502.0,1.0,2.5,1
864,Built-up Area,3339.0,3.0,25.0,3
865,Built-up Area,1475.0,2.0,7.4,3
867,Built-up Area,1550.0,2.0,7.9,3
870,Built-up Area,2162.0,3.0,20.0,3
871,Built-up Area,2550.0,4.0,14.9,4
872,Built-up Area,1400.0,3.0,7.0,3
873,Built-up Area,710.0,2.0,4.0,1
879,Built-up Area,1260.0,3.0,6.358,3
881,Built-up Area,600.0,1.0,3.0,1
882,Built-up Area,830.0,2.0,6.0,2
884,Built-up Area,2792.0,4.0,22.0,4
885,Built-up Area,700.0,1.0,5.9,1
886,Built-up Area,1200.0,2.0,6.7,2
887,Built-up Area,1518.0,3.0,7.6,3
888,Built-up Area,1495.0,2.0,7.5,3
889,Built-up Area,1575.0,2.0,9.0,2
891,Built-up Area,1450.0,2.0,8.1,3
892,Built-up Area,856.0,2.0,4.8,2
894,Built-up Area,1117.0,2.0,11.0,2
896,Built-up Area,7500.0,4.0,42.5,4
897,Built-up Area,925.0,2.0,4.8,2
898,Built-up Area,2675.0,4.0,29.0,4
900,Built-up Area,1477.0,2.0,8.0,3
901,Built-up Area,1253.0,2.0,6.58,2
902,Built-up Area,750.0,2.0,4.0,2
903,Built-up Area,1615.0,3.0,11.5,3
904,Built-up Area,1095.0,2.0,6.0,2
905,Built-up Area,3200.0,4.0,22.4,4
908,Built-up Area,1200.0,3.0,11.0,4
909,Built-up Area,600.0,1.0,4.3,1
910,Built-up Area,600.0,1.0,2.0,1
915,Built-up Area,1030.0,2.0,8.0,2
917,Built-up Area,918.0,2.0,4.9,2
919,Built-up Area,1150.0,2.0,6.9,2
921,Built-up Area,1350.0,2.0,6.8,3
922,Built-up Area,2500.0,4.0,20.0,4
925,Built-up Area,1939.0,3.0,9.8,3
927,Built-up Area,675.0,1.0,4.5,1
929,Built-up Area,850.0,1.0,5.7,1
930,Built-up Area,1680.0,3.0,11.7,3
931,Built-up Area,1100.0,2.0,8.5,3
932,Built-up Area,1148.0,2.0,5.9,2
933,Built-up Area,1050.0,2.0,6.5,2
934,Built-up Area,630.0,1.0,6.0,1
936,Built-up Area,1100.0,2.0,7.8,2
938,Built-up Area,1184.0,2.0,6.9,2
941,Built-up Area,2556.0,3.0,16.9,3
942,Built-up Area,870.0,2.0,6.5,2
943,Built-up Area,2000.0,3.0,14.5,3
946,Built-up Area,1475.0,3.0,7.8,3
947,Built-up Area,948.0,2.0,7.5,2
948,Built-up Area,1565.0,3.0,7.8,3
949,Built-up Area,500.0,1.0,1.7,1
950,Built-up Area,1650.0,3.0,10.0,3
953,Built-up Area,3160.0,4.0,20.6,4
954,Built-up Area,627.0,1.0,3.0,1
955,Built-up Area,1620.0,3.0,13.0,3
956,Built-up Area,850.0,2.0,7.2,2
960,Built-up Area,1100.0,2.0,5.7,2
966,Built-up Area,1500.0,2.0,7.5,3
972,Built-up Area,2017.0,3.0,10.5,3
973,Built-up Area,905.0,1.0,5.2,1
974,Built-up Area,1350.0,3.0,7.1,3
976,Built-up Area,1750.0,3.0,17.0,3
977,Built-up Area,1800.0,3.0,10.5,6
979,Built-up Area,1680.0,3.0,13.5,3
980,Built-up Area,1240.0,2.0,10.0,2
981,Built-up Area,1810.0,3.0,11.8,3
984,Built-up Area,1000.0,2.0,9.7,2
985,Built-up Area,1430.0,3.0,7.865,3
986,Built-up Area,1200.0,2.0,4.5,1
989,Built-up Area,1126.0,2.0,6.9,2
990,Built-up Area,1840.0,4.0,17.5,3
996,Built-up Area,1216.0,2.0,8.0,2
999,Built-up Area,693.0,1.0,3.4299999999999997,1
1004,Built-up Area,883.0,2.0,5.0,2
1005,Built-up Area,3730.0,4.0,37.0,4
1006,Built-up Area,2700.0,4.0,16.0,7
1009,Built-up Area,1550.0,4.0,12.0,4
1010,Built-up Area,1560.0,3.0,12.5,3
1012,Built-up Area,1290.0,2.0,7.3,2
1013,Built-up Area,1783.0,3.0,12.5,3
1014,Built-up Area,2500.0,3.0,18.0,3
1016,Built-up Area,2800.0,7.0,25.0,7
1017,Built-up Area,2100.0,3.0,12.5,4
1025,Built-up Area,1890.0,2.0,9.3,3
1026,Built-up Area,635.0,1.0,2.6,1
1027,Built-up Area,4000.0,4.0,38.0,4
1034,Built-up Area,3436.0,5.0,34.1,4
1036,Built-up Area,2400.0,3.0,15.0,3
1039,Built-up Area,1850.0,3.0,14.0,3
1040,Built-up Area,1910.0,3.0,14.2,3
1041,Built-up Area,1942.0,3.0,15.5,3
1043,Built-up Area,1667.0,3.0,9.2,3
1047,Built-up Area,935.0,2.0,5.15,2
1048,Built-up Area,1410.0,2.0,8.0,3
1049,Built-up Area,651.0,1.0,1.75,1
1051,Built-up Area,3300.0,4.0,32.9,4
1052,Built-up Area,925.0,2.0,4.65,2
1055,Built-up Area,840.0,2.0,5.0,1
1056,Built-up Area,2200.0,3.0,12.1,3
1057,Built-up Area,1300.0,3.0,6.4,3
1058,Built-up Area,1200.0,1.0,6.9,1
1059,Built-up Area,1500.0,3.0,7.5,3
1064,Built-up Area,1186.0,2.0,6.5,2
1066,Built-up Area,1430.0,2.0,7.865,3
1070,Built-up Area,820.0,2.0,4.5,2
1078,Built-up Area,1595.0,3.0,11.0,3
1079,Built-up Area,957.0,2.0,5.25,2
1082,Built-up Area,3200.0,4.0,28.0,4
1083,Built-up Area,3425.0,5.0,25.0,4
1085,Built-up Area,1200.0,3.0,6.5,3
1088,Built-up Area,1831.0,3.0,11.0,3
1090,Built-up Area,1000.0,2.0,6.1,2
1091,Built-up Area,2700.0,3.0,20.0,3
1092,Built-up Area,1677.0,3.0,9.8,3
1094,Built-up Area,638.0,1.0,3.2,1
1095,Built-up Area,1490.0,2.0,11.5,3
1096,Built-up Area,1200.0,2.0,8.0,2
1097,Built-up Area,1140.0,2.0,5.8,2
1099,Built-up Area,1200.0,4.0,8.5,4
1100,Built-up Area,2400.0,3.0,12.0,3
1101,Built-up Area,1225.0,2.0,6.65,2
1102,Built-up Area,1350.0,2.0,7.2,2
1108,Built-up Area,480.0,1.0,2.5,1
1110,Built-up Area,3463.0,6.0,31.0,4
1112,Built-up Area,1315.0,2.0,14.0,2
1116,Built-up Area,1315.0,2.0,6.5,3
1119,Built-up Area,600.0,1.0,1.95,1
1120,Built-up Area,1240.0,2.0,6.5,2
1122,Built-up Area,845.0,2.0,4.3,2
1126,Built-up Area,1158.0,2.0,7.5,2
1130,Built-up Area,1163.0,2.0,6.5,2
1132,Built-up Area,3044.0,3.0,18.3,3
1134,Built-up Area,1450.0,3.0,7.2,3
1135,Built-up Area,1200.0,2.0,6.5,2
1136,Built-up Area,1299.0,2.0,10.0,2
1145,Built-up Area,650.0,1.0,1.7,1
